cosparId,depth,diameter,height,mass,name,objectClass,satno,shape,span,vimpelId,width,xSectAvg,xSectMax,xSectMin
2018-089B,,4.0,13.545,5300.0,C-25 (GSLV Mk III),Rocket Body,43699,Cyl + 1 Nozzle,13.545,,,48.8360578000533,55.6182170733423,12.5663706143592
2018-090A,3.8,,6.2,5300.0,Es'hailsat-2,Payload,43700,Box + 2 Pan,25.3,,3.8,52.6586,101.673751335192,14.44
2019-042B,,4.0,13.545,5300.0,C-25 (GSLV Mk III),Rocket Body,44442,Cyl + 1 Nozzle,13.545,,,48.8360578000533,55.6182170733423,12.5663706143592
2017-017A,3.3,,7.0,5300.0,SES-10,Payload,42432,Box + 2 Pan,35.0,,3.3,56.5642666666667,118.124239576769,10.89
2017-063A,3.3,,7.0,5300.0,SES-11,Payload,42967,Box + 2 Pan,35.0,,3.3,56.5642666666667,118.124239576769,10.89
2017-031B,,4.0,13.545,5300.0,C-25 (GSLV Mk III),Rocket Body,42748,Cyl + 1 Nozzle,13.545,,,48.8360578000533,55.6182170733423,12.5663706143592
1965-060B,3.9,,3.5,5297.0,Apollo Model 5,Payload,1468,Cone,3.91,,3.91,17.1282,18.5726,11.733
1964-065A,,2.4,5.99,5272.55,Voskhod 1,Payload,904,Sphere + Cyl + 1 DCone,6.5,,,13.5528307075864,15.070998231242,4.5238934211693
2016-013A,3.0,,7.5,5271.0,SES-9,Payload,41380,Box + 2 Pan,44.0,,3.0,59.9526666666667,131.468977397747,9.0
2010-070A,2.2,,5.4,5270.0,Hispasat 1E,Payload,37264,Box + 2  Pan,26.7,,2.2,28.7667333333333,60.6048288921714,4.84
1997-061A,,4.0,6.7,5254.0,Cassini,Payload,25008,Cyl + 1 Dish + 2 Ant,15.0,,,29.1918560862312,34.1360147726717,12.5663706143592
1983-054A,,,,5252.73,Venera 16,Payload,14107,,5.0,,,,3.0,0.28274339
2019-012A,2.5,,5.0,5250.0,Chinasat 6C,Payload,44067,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2012-069A,2.5,,7.0,5250.0,Eutelsat 70B,Payload,39020,Box + 2 Pan,30.0,,2.5,39.0633333333333,80.5264243618017,6.25
2002-053A,4.0,,5.0,5250.0,Astra 1K,Payload,27557,Box + 1 Pan,30.0,,4.0,54.7606666666667,112.496550642559,16.0
2021-114A,2.5,,5.0,5250.0,Chinasat 1D,Payload,49505,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2019-053A,2.5,,5.0,5250.0,Chinasat 18,Payload,44493,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2021-080A,2.5,,5.0,5250.0,Chinasat 9B,Payload,49125,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2017-035A,2.5,,5.0,5250.0,Chinasat 9A,Payload,42763,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2013-020A,2.5,,5.0,5234.0,Chinasat 11,Payload,39157,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2022-021A,3.9,,6.1,5209.0,GOES 18,Payload,51850,Box + 1 Pan + 1 Rod,12.0,,3.9,37.5610666666667,55.3306385113632,15.21
1983-053A,,,,5203.17,Venera 15,Payload,14104,,5.0,,,,3.0,0.28274339
2006-048A,5.0,,5.0,5200.0,Xinnuo 2,Payload,29516,Box,5.0,,2.5,25.0,30.6186217847897,12.5
2016-048A,2.5,,5.0,5200.0,Tiantong-1 01,Payload,41725,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2020-082A,2.5,,5.0,5200.0,Tiantong-1 02,Payload,46916,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2021-003A,2.5,,5.0,5200.0,Tiantong-1 03,Payload,47321,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2016-001A,2.5,,5.0,5200.0,BelinterSat-1,Payload,41238,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2017-078A,2.5,,5.0,5200.0,Alcomsat 1,Payload,43039,Box + 2 Pan,30.0,,2.5,34.0633333333333,73.750702040974,6.25
2006-049A,3.3,,7.0,5193.0,XM Radio 4 (Blues),Payload,29520,Box + 2 Pan,40.4,,3.3,61.3342666666667,132.380339424801,10.89
2018-022A,3.9,,6.1,5192.0,GOES 17,Payload,43226,Box + 1 Pan + 1 Ant,12.0,,3.9,38.5377333333333,57.7063956538338,15.21
2016-071A,3.9,,6.1,5192.0,GOES 16,Payload,41866,Box + 1 Pan + 1 Rod,12.0,,3.9,37.5610666666667,55.3306385113632,15.21
1999-068A,3.5,,6.8,5190.0,Terra,Payload,25994,Box + 1 Pan,10.0,,3.5,32.9316666666667,44.7782876135624,12.25
